,features/color,features/x,features/clarity,features/y,features/depth,features/z,features/carat,features/table,features/cut
14314,4,5.23,2,5.28,62.4,3.28,0.55,57.0,4
52008,2,3.94,3,3.97,61.9,2.45,0.23,55.0,4
5288,2,8.08,1,8.13,63.5,5.15,2.11,55.0,2
7958,3,4.72,2,4.75,62.7,2.97,0.42,59.0,3
12814,5,8.76,2,8.69,61.5,5.37,2.52,56.0,4
51395,0,6.47,2,6.42,61.6,3.97,1.01,58.0,3
34446,4,4.78,2,4.81,62.4,2.99,0.41,53.0,4
17598,1,5.32,1,5.37,62.5,3.34,0.59,57.0,4
5009,2,5.77,4,5.8,61.0,3.53,0.71,56.0,4
29833,3,4.81,4,4.84,62.2,3.0,0.43,59.0,2
7653,4,4.42,3,4.39,61.7,2.72,0.33,59.0,3
40543,1,4.56,2,4.59,60.8,2.78,0.36,59.0,2
10772,2,6.25,2,6.3,62.6,3.93,1.0,59.0,0
29253,4,4.68,2,4.74,62.0,2.92,0.4,56.0,4
16927,1,5.08,4,5.11,63.4,3.23,0.52,54.0,2
7900,2,4.72,3,4.68,62.6,2.94,0.4,58.0,3
19927,3,5.12,2,5.24,62.5,3.24,0.53,55.0,2
44059,4,4.41,7,4.42,61.6,2.72,0.32,55.0,4
26634,1,7.57,3,7.54,62.9,4.75,1.7,58.0,3
6555,2,7.14,2,7.09,62.4,4.44,1.39,59.0,3
45305,5,8.44,2,8.51,61.8,5.24,2.29,59.0,2
35720,3,7.33,4,7.26,63.3,4.62,1.51,53.0,2
49129,2,4.58,5,4.61,61.4,2.82,0.36,56.0,4
4445,5,5.63,3,5.56,64.3,3.6,0.71,63.0,1
28028,4,5.1,7,5.13,62.4,3.19,0.5,54.0,4
13000,2,5.48,2,5.52,60.0,3.3,0.6,61.0,2
14667,4,5.76,4,5.8,61.6,3.56,0.72,55.0,4
41012,2,5.71,2,5.78,62.7,3.6,0.74,58.0,2
2935,2,5.73,3,5.76,62.5,3.59,0.72,56.0,4
19261,4,4.36,2,4.39,61.5,2.69,0.31,56.0,4
24040,3,4.3,6,4.27,62.8,2.69,0.3,58.0,3
2232,2,7.18,3,7.13,64.0,4.64,1.5,56.0,1
3592,1,4.39,5,4.35,61.6,2.69,0.31,56.0,4
46356,5,5.25,5,5.29,61.7,3.25,0.54,54.0,4
16701,3,6.95,1,7.03,63.4,4.43,1.37,61.0,2
30343,4,6.62,1,6.55,61.2,4.03,1.05,57.0,4
28339,5,6.35,3,6.28,58.7,3.7,0.9,60.0,3
36515,5,5.17,4,5.14,62.7,3.23,0.52,57.0,4
12591,4,7.41,5,7.35,61.8,4.56,1.52,58.0,4
50302,4,4.73,4,4.77,62.7,2.98,0.41,56.0,4
39219,2,5.11,4,5.05,56.5,2.87,0.46,61.0,1
4216,6,6.9,2,6.93,59.7,4.13,1.21,60.0,3
31378,2,4.47,3,4.42,62.3,2.77,0.33,55.0,4
38626,5,8.7,1,8.59,62.9,5.44,2.55,58.0,3
8508,3,4.33,4,4.36,62.1,2.7,0.31,55.0,4
46634,6,5.72,2,5.74,62.1,3.56,0.7,54.0,4
50588,4,5.99,1,5.84,67.6,4.01,0.96,63.0,0
7279,3,4.53,4,4.51,61.9,2.8,0.35,55.0,4
47566,4,5.67,2,5.7,61.0,3.47,0.7,58.0,2
28818,2,4.46,5,4.44,61.3,2.73,0.33,56.0,4
43060,3,4.38,6,4.4,62.0,2.72,0.31,56.0,4
36881,3,7.51,3,7.54,62.7,4.72,1.68,58.0,2
42894,1,5.55,2,5.66,63.9,3.58,0.7,57.0,2
22596,4,6.64,2,6.6,61.5,4.07,1.07,54.0,4
29577,4,6.95,3,6.89,61.7,4.27,1.26,56.0,4
12564,6,7.04,4,7.12,62.0,4.39,1.34,57.0,4
24786,1,4.46,2,4.49,61.2,2.74,0.33,56.0,4
1332,1,7.5,2,7.55,61.0,4.59,1.58,57.0,4
42527,1,7.26,3,7.36,62.4,4.56,1.51,59.0,2
19497,1,4.68,2,4.72,61.7,2.9,0.4,60.0,2
31229,1,4.44,1,4.47,61.7,2.75,0.33,55.0,4
22311,4,5.59,2,5.62,64.2,3.6,0.7,58.0,1
278,1,4.79,5,4.76,61.4,2.93,0.41,57.0,4
6646,0,5.3,3,5.27,60.9,3.22,0.54,56.0,4
30711,5,7.08,2,7.02,58.9,4.15,1.24,59.0,3
17532,1,4.4,1,4.35,61.7,2.7,0.31,56.0,4
6352,1,8.26,1,8.22,57.3,4.72,2.0,65.0,1
18684,2,6.89,1,6.86,61.7,4.24,1.23,57.0,3
53429,2,5.66,5,5.62,62.6,3.53,0.7,59.0,3
40810,6,8.03,1,8.07,62.9,5.06,2.01,54.0,4
6275,1,4.76,2,4.72,62.2,2.95,0.4,54.0,4
13838,3,7.38,3,7.45,61.5,4.56,1.52,56.0,4
46601,3,6.5,3,6.47,61.8,4.01,1.04,56.0,4
28652,3,5.31,4,5.27,62.2,3.29,0.56,55.0,4
39097,3,4.77,4,4.73,62.5,2.97,0.41,59.0,3
42606,4,4.37,4,4.39,63.0,2.76,0.32,57.0,2
374,1,5.85,2,5.88,60.5,3.55,0.73,57.0,4
40917,4,4.3,5,4.26,62.4,2.67,0.3,58.0,3
2087,2,4.34,6,4.36,61.8,2.69,0.31,56.0,4
45642,1,4.35,3,4.3,62.9,2.72,0.31,57.0,4
27179,6,7.45,2,7.39,62.3,4.62,1.57,57.0,4
19304,4,6.54,1,6.51,61.5,4.01,1.04,59.0,3
9440,4,4.84,1,4.81,60.9,2.94,0.41,60.0,3
28005,1,4.82,5,4.81,60.9,2.93,0.41,60.0,3
27458,0,5.32,3,5.36,61.4,3.28,0.56,57.0,4
30401,2,5.74,2,5.68,61.3,3.5,0.7,59.0,3
19997,5,7.66,1,7.57,61.7,4.7,1.7,56.0,3
15908,5,6.4,2,6.34,62.8,4.0,1.01,58.0,3
32884,2,4.77,4,4.73,61.9,2.94,0.41,57.0,4
15301,3,5.97,4,5.92,59.4,3.53,0.77,64.0,1
31146,2,4.07,5,4.08,60.9,2.48,0.24,55.0,2
22985,5,4.42,3,4.46,60.6,2.69,0.32,56.0,4
28033,0,5.86,2,5.84,58.8,3.44,0.7,59.0,3
4900,2,5.11,4,5.14,64.2,3.29,0.53,56.0,1
6514,4,5.72,5,5.62,63.7,3.61,0.7,54.0,1
9056,1,5.31,5,5.34,64.2,3.42,0.6,55.0,1
41626,0,5.08,7,5.12,60.6,3.09,0.48,55.0,2
1146,0,5.17,2,5.22,62.9,3.27,0.54,57.0,2
46496,5,4.64,6,4.68,63.9,2.98,0.4,56.0,1
16929,6,5.0,5,4.95,64.1,3.19,0.5,57.0,1
29994,3,5.24,1,5.21,61.4,3.21,0.54,59.0,3
43716,1,5.15,3,5.11,62.8,3.22,0.52,55.0,3
9880,3,6.2,1,6.23,62.9,3.91,0.93,56.0,2
13597,2,5.94,5,6.01,62.3,3.72,0.81,54.0,4
37868,5,4.32,6,4.35,61.8,2.68,0.3,54.0,4
28519,0,5.11,3,5.14,62.6,3.21,0.52,56.0,4
20475,5,6.04,5,6.15,64.8,3.95,0.9,55.0,1
49808,3,5.33,3,5.29,60.3,3.2,0.55,62.0,3
14985,5,5.61,2,5.54,62.6,3.49,0.71,63.0,2
20568,3,5.27,6,5.29,61.2,3.23,0.55,56.0,4
36162,3,6.42,4,6.49,63.1,4.07,1.06,57.0,2
36319,2,5.7,3,5.76,59.4,3.4,0.67,59.5,2
49793,4,5.32,2,5.36,62.4,3.33,0.58,55.0,2
32365,5,5.67,5,5.61,63.3,3.57,0.7,55.0,2
33059,3,5.87,3,5.82,60.7,3.55,0.73,58.0,3
14611,3,4.66,7,4.7,60.5,2.83,0.37,56.0,4
48586,4,6.14,4,6.18,62.2,3.83,0.9,59.0,2
25850,0,4.73,5,4.63,61.3,2.87,0.38,56.0,4
48731,3,5.25,5,5.3,61.2,3.22,0.54,56.0,4
30424,1,5.6,6,5.66,61.8,3.48,0.66,55.0,2
10368,6,5.27,3,5.31,62.0,3.28,0.56,56.0,4
43859,1,5.1,3,5.13,61.6,3.15,0.5,56.0,4
12573,1,4.9,1,4.94,62.0,3.05,0.44,54.0,4
38424,4,6.48,2,6.41,62.1,4.01,1.04,56.0,3
49631,4,4.68,7,4.7,62.7,2.94,0.4,57.0,4
10700,0,4.63,3,4.66,63.3,2.94,0.4,58.0,2
27669,1,4.66,3,4.68,59.1,2.76,0.37,60.0,3
36732,0,5.38,3,5.34,60.8,3.26,0.57,59.0,3
45222,1,4.48,2,4.44,61.9,2.76,0.34,59.0,3
24478,4,5.74,2,5.77,61.2,3.52,0.7,58.0,4
7281,5,5.84,5,5.78,60.6,3.52,0.73,58.0,3
39033,4,4.48,6,4.46,61.7,2.76,0.33,56.0,4
5137,4,6.82,3,6.73,62.1,4.21,1.19,59.0,4
396,3,6.77,3,6.81,61.4,4.17,1.17,56.0,4
41148,4,8.1,2,8.07,63.7,5.15,2.1,61.0,1
12151,6,5.17,3,5.21,63.0,3.27,0.54,57.0,2
12447,1,6.51,3,6.46,63.5,4.12,1.05,57.0,2
17851,2,4.62,4,4.66,59.9,2.77,0.36,58.6,2
49238,1,6.31,2,6.37,59.1,3.75,0.9,59.0,4
34978,1,4.53,6,4.57,60.7,2.76,0.35,57.0,4
18871,3,5.19,2,5.23,61.1,3.18,0.52,56.0,2
21647,6,4.27,2,4.21,62.7,2.66,0.3,59.0,3
44519,4,6.66,2,6.61,61.6,4.09,1.1,56.0,3
22274,5,7.65,2,7.67,61.2,4.69,1.73,60.0,2
53746,1,3.98,3,4.01,62.1,2.48,0.24,59.0,2
16714,3,6.47,3,6.51,61.9,4.03,1.05,57.0,4
4148,3,4.51,7,4.53,61.3,2.77,0.35,56.0,4
40300,2,4.8,3,4.75,61.6,2.94,0.4,58.0,3
44456,1,7.21,3,7.19,63.9,4.6,1.5,58.0,1
32350,1,6.54,2,6.59,57.4,3.77,1.0,62.0,0
51015,0,4.85,2,4.82,62.9,3.04,0.44,58.0,3
40990,1,5.84,1,5.81,64.0,3.73,0.78,57.0,1
24590,1,4.46,2,4.49,63.2,2.83,0.34,55.0,1
15840,3,7.29,2,7.33,62.0,4.53,1.5,56.0,4
47258,5,6.68,2,6.72,61.9,4.15,1.15,56.0,4
46508,3,6.87,4,6.92,63.4,4.37,1.25,55.0,1
32707,2,6.3,2,6.39,63.5,4.03,1.01,59.0,1
17471,2,5.28,2,5.34,61.0,3.24,0.55,56.0,4
26303,3,4.41,5,4.43,60.6,2.68,0.32,57.0,4
38586,4,7.38,4,7.41,61.3,4.53,1.53,57.0,4
49844,3,6.19,2,6.26,61.5,3.83,0.92,60.0,2
1047,1,5.28,2,5.32,60.9,3.23,0.55,56.0,4
11778,1,5.9,6,5.87,61.8,3.64,0.76,54.0,4
24129,3,4.41,6,4.43,61.1,2.7,0.32,57.0,4
15244,5,5.86,2,5.83,63.3,3.7,0.79,57.0,2
398,0,5.19,3,5.15,61.5,3.18,0.52,56.0,4
7567,5,5.26,5,5.2,60.4,3.16,0.52,66.0,0
4768,3,5.02,5,5.06,64.1,3.23,0.5,56.0,1
15760,6,6.22,2,6.18,62.9,3.9,0.92,58.0,3
31798,4,4.3,2,4.25,60.8,2.6,0.3,61.0,3
53772,3,4.54,7,4.58,60.1,2.74,0.34,57.0,4
27333,1,7.12,2,7.16,65.5,4.68,1.51,56.0,1
48147,2,6.37,3,6.43,62.7,4.01,1.01,56.0,2
37665,5,4.79,6,4.82,61.0,2.93,0.41,56.0,4
17160,0,5.15,2,5.23,61.7,3.2,0.53,56.0,4
17496,6,5.8,3,5.91,62.5,3.66,0.77,57.0,4
21193,1,5.64,2,5.68,61.7,3.49,0.7,62.0,2
50528,0,4.72,1,4.75,62.7,2.97,0.41,55.0,4
4214,2,7.32,2,7.38,60.5,4.45,1.5,62.0,1
5183,2,5.24,2,5.31,59.5,3.14,0.52,59.0,3
23451,2,4.41,6,4.44,62.0,2.74,0.33,56.0,2
48547,3,4.58,6,4.6,61.7,2.83,0.36,55.0,4
15855,6,8.83,1,8.87,59.3,5.25,2.51,58.0,3
48464,5,5.73,3,5.77,62.0,3.56,0.71,54.0,4
48298,1,4.94,0,5.0,58.4,2.9,0.43,62.0,2
32787,1,4.96,3,4.92,65.0,3.21,0.5,58.0,0
19872,3,5.55,2,5.59,61.6,3.43,0.64,55.0,4
11129,3,5.95,3,6.0,62.1,3.71,0.8,57.0,4
39667,4,5.6,7,5.62,61.5,3.45,0.65,55.0,4
22779,5,4.34,2,4.29,61.6,2.66,0.3,59.0,3
24093,6,7.06,3,7.11,62.7,4.44,1.38,56.0,2
31265,3,6.78,5,6.82,62.2,4.23,1.18,54.0,4
44881,4,6.47,0,6.45,61.6,3.98,1.04,61.0,3
40657,3,6.84,2,6.88,63.0,4.32,1.26,59.0,2
6987,4,5.92,4,5.86,62.0,3.65,0.8,60.0,3
26387,1,5.19,3,5.23,62.3,3.25,0.53,56.7,2
13282,3,4.39,7,4.45,61.8,2.73,0.32,55.0,2
5500,5,6.73,2,6.65,62.0,4.15,1.12,56.0,3
4815,6,7.11,4,7.08,61.3,4.35,1.33,57.0,4
34596,0,5.48,2,5.18,60.4,3.16,0.51,55.0,4
42113,1,4.36,2,4.4,59.7,2.61,0.3,59.9,2
23556,0,5.69,3,5.65,63.0,3.58,0.71,56.0,4
46417,3,6.39,1,6.34,62.4,3.97,1.01,59.0,3
4571,4,9.65,0,9.59,62.8,6.03,3.5,57.0,4
9844,4,5.47,4,5.56,62.9,3.47,0.63,54.0,1
31429,0,4.48,3,4.52,62.4,2.81,0.35,55.0,4
4183,1,5.94,2,5.88,60.9,3.6,0.77,58.0,3
46187,3,5.21,5,5.19,62.5,3.25,0.53,54.0,4
3602,2,5.07,7,5.1,61.4,3.12,0.5,60.0,2
566,4,6.66,3,6.63,60.6,4.03,1.07,60.0,3
10962,1,8.32,1,8.25,58.1,4.81,2.0,60.0,3
30591,1,5.05,5,5.0,60.5,3.04,0.47,58.0,3
41082,2,4.33,7,4.37,61.6,2.68,0.31,58.0,3
52828,1,6.37,1,6.42,60.2,3.85,1.01,60.0,1
52253,3,7.53,0,7.5,70.2,5.27,2.01,57.0,0
18138,6,4.28,3,4.33,61.6,2.65,0.3,61.0,2
18010,0,5.7,1,5.73,62.5,3.57,0.71,56.0,4
10575,1,6.4,2,6.45,62.1,3.99,1.01,57.0,4
6247,3,7.74,4,7.59,62.1,4.76,1.71,55.0,4
46490,0,4.56,2,4.52,63.2,2.87,0.36,56.0,2
52331,4,4.27,1,4.24,63.9,2.72,0.3,56.0,1
13004,1,4.67,6,4.72,62.4,2.93,0.4,57.0,4
39020,0,6.44,2,6.38,61.6,3.95,1.01,62.0,3
34975,4,4.58,2,4.62,63.3,2.91,0.38,57.0,1
6375,0,4.28,1,4.31,62.4,2.68,0.3,58.0,3
48717,0,5.08,2,5.03,62.1,3.14,0.5,57.0,4
49581,4,4.38,4,4.34,61.7,2.69,0.31,57.0,4
7605,6,6.64,4,6.75,61.5,4.11,1.14,59.0,2
30388,2,6.95,5,6.91,62.2,4.32,1.28,56.0,4
6024,1,6.61,1,6.68,60.2,4.0,1.08,58.0,2
8649,3,4.31,3,4.35,60.7,2.63,0.29,55.0,4
25578,4,5.62,2,5.58,63.4,3.55,0.7,61.0,2
4356,0,5.83,2,5.87,60.2,3.52,0.73,56.0,2
15246,4,4.83,3,4.86,60.7,2.94,0.41,55.0,4
23815,1,5.7,6,5.73,61.6,3.52,0.7,61.0,2
25929,2,6.62,4,6.58,62.1,4.1,1.12,60.0,3
49825,1,4.6,2,4.67,62.8,2.91,0.38,61.0,1
1638,5,7.01,1,6.95,61.3,4.28,1.32,59.0,3
20412,6,6.87,3,6.8,61.7,4.22,1.23,57.0,4
26600,3,6.36,2,6.4,62.9,4.01,1.02,56.0,2
28445,4,6.77,3,6.83,62.1,4.22,1.21,60.0,2
52844,1,5.17,3,5.1,61.7,3.17,0.52,57.0,4
8993,0,5.78,2,5.72,62.6,3.6,0.72,54.0,3
37779,4,6.57,4,6.49,61.9,4.04,1.06,58.0,2
37608,3,6.69,6,6.67,62.7,4.19,1.15,56.0,4
15242,1,8.22,1,8.18,62.4,5.12,2.12,58.0,3
3388,4,7.12,2,7.08,60.8,4.32,1.31,56.0,4
16871,4,5.55,2,5.59,60.1,3.35,0.62,61.0,2
51646,2,5.17,3,5.14,62.5,3.22,0.52,54.0,4
49620,0,5.91,1,5.89,63.8,3.77,0.81,55.0,1
21547,1,4.05,5,4.02,62.5,2.52,0.25,59.0,3
9548,4,7.01,4,6.97,61.4,4.29,1.26,56.0,4
50371,5,5.9,7,5.96,62.4,3.7,0.8,58.0,4
16946,3,4.39,7,4.36,61.9,2.71,0.31,56.0,4
8686,4,6.43,2,6.37,62.2,3.98,1.01,57.0,4
33838,0,4.68,2,4.75,63.8,3.01,0.4,54.0,2
35591,5,6.49,2,6.39,63.0,4.06,1.04,56.0,4
22108,4,6.54,1,6.5,62.0,4.04,1.05,57.0,4
11417,5,8.28,2,8.24,60.8,5.02,2.09,59.0,3
44366,3,6.62,4,6.65,61.0,4.05,1.08,56.0,4
38874,3,4.0,7,4.03,61.3,2.46,0.24,57.0,4
40883,3,5.45,3,5.48,60.0,3.28,0.58,56.0,4
42787,1,6.47,3,6.38,61.9,3.98,1.02,62.0,3
27377,4,4.36,2,4.44,61.4,2.7,0.31,55.0,2
35564,5,4.34,3,4.39,63.0,2.75,0.32,55.0,2
31123,1,6.27,6,6.24,63.4,4.0,1.0,59.0,1
36283,5,4.31,3,4.29,62.6,2.69,0.3,56.0,4
41722,6,5.98,3,6.02,60.8,3.65,0.79,56.0,2
12292,5,8.48,1,8.45,61.8,5.23,2.3,57.0,4
27373,4,7.98,1,8.09,62.6,5.03,2.0,56.0,2
24352,4,8.93,0,8.83,62.6,5.56,2.77,62.0,3
25243,1,6.4,2,6.45,61.0,3.92,1.0,61.0,2
7236,1,4.73,2,4.7,63.6,3.0,0.41,56.0,1
43436,5,7.28,3,7.34,61.6,4.5,1.51,57.0,2
26779,2,6.31,1,6.24,60.1,3.77,0.9,59.0,3
25330,3,4.59,2,4.64,62.4,2.88,0.38,59.0,2
50054,5,4.43,6,4.45,61.7,2.74,0.33,61.0,2
15785,0,5.39,3,5.35,62.8,3.37,0.6,59.0,3
52391,6,4.33,3,4.28,61.6,2.65,0.3,61.0,3
9103,3,7.45,2,7.41,60.6,4.5,1.51,60.0,3
17779,1,4.35,7,4.4,62.2,2.72,0.31,53.0,4
19025,3,4.78,5,4.77,62.6,2.99,0.42,55.0,4
51765,2,4.31,7,4.34,62.2,2.69,0.31,56.0,4
2505,4,7.14,3,7.08,59.6,4.24,1.31,58.0,3
40094,4,4.87,2,4.9,61.6,3.01,0.43,55.0,4
27110,3,6.41,3,6.37,62.9,4.02,1.02,58.0,3
44828,5,4.78,7,4.81,61.1,2.93,0.41,57.0,4
38713,1,5.14,0,5.05,60.7,3.09,0.5,61.0,3
25114,3,7.32,1,7.28,58.4,4.26,1.35,59.0,3
9697,0,5.45,3,5.5,61.4,3.36,0.6,53.0,4
28961,2,6.6,1,6.57,61.5,4.05,1.07,57.0,4
46708,5,6.37,1,6.41,62.8,4.01,1.02,58.0,4
48771,3,4.82,2,4.87,61.9,3.0,0.44,59.0,3
53713,4,6.13,2,6.07,64.6,3.94,0.93,58.0,0
959,3,7.54,2,7.47,62.5,4.69,1.7,61.0,3
5278,6,7.33,3,7.23,61.7,4.49,1.5,56.0,3
34997,0,6.56,1,6.59,62.1,4.08,1.09,56.0,4
40144,4,5.68,4,5.72,61.2,3.49,0.7,55.0,2
19577,1,5.72,2,5.69,61.7,3.52,0.71,56.0,4
19587,0,6.59,2,6.64,57.6,3.81,1.01,60.0,1
437,2,6.32,3,6.26,64.2,4.04,1.0,58.0,1
30004,0,4.68,2,4.73,63.1,2.97,0.41,57.0,1
33155,2,5.97,2,5.91,62.3,3.7,0.79,54.0,3
18149,6,5.66,2,5.71,61.0,3.47,0.71,61.0,2
42305,6,6.79,1,6.74,63.1,4.27,1.24,60.0,2
7315,6,7.13,2,7.09,62.7,4.46,1.4,57.0,4
16177,1,6.0,1,5.95,61.0,3.65,0.79,57.0,4
14094,0,4.43,2,4.39,62.8,2.77,0.33,56.0,4
14850,3,4.32,7,4.3,62.4,2.69,0.3,55.0,4
19574,3,4.44,4,4.47,59.8,2.67,0.32,57.9,4
5242,1,8.03,1,8.08,60.5,4.87,2.0,60.0,2
44489,0,4.26,2,4.28,62.5,2.67,0.3,59.0,2
26920,4,7.97,1,7.89,63.4,5.03,2.01,60.0,2
1488,1,3.91,5,3.94,61.9,2.43,0.23,57.0,2
18999,3,4.82,3,4.85,60.8,2.94,0.42,57.0,4
17004,1,4.02,6,4.07,60.2,2.44,0.24,57.0,4
33107,5,6.34,2,6.3,63.3,4.0,1.0,58.0,2
20480,0,4.32,3,4.36,61.8,2.68,0.3,55.0,4
20713,5,5.75,2,5.71,62.7,3.59,0.75,61.0,3
26191,1,4.66,6,4.67,61.9,2.89,0.38,53.7,4
37627,1,5.43,4,5.48,61.6,3.36,0.6,55.0,4
34153,5,3.98,6,3.95,60.5,2.4,0.23,61.0,3
17324,1,4.55,3,4.59,61.7,2.82,0.36,57.0,4
47343,2,6.67,0,6.7,61.7,4.13,1.14,57.0,4
51672,2,5.7,4,5.73,61.2,3.5,0.7,58.0,4
27875,2,6.37,2,6.27,62.7,3.96,0.98,55.0,4
36170,3,4.95,5,4.96,57.7,2.86,0.42,59.8,1
45782,1,4.39,3,4.37,59.1,2.59,0.3,58.0,3
9409,1,4.22,5,4.3,62.0,2.63,0.28,56.0,2
21297,2,4.82,5,4.8,61.3,2.95,0.42,57.0,4
41238,6,6.77,3,6.83,60.7,4.13,1.15,55.0,4
18192,5,8.32,2,8.16,60.9,4.99,2.06,61.0,3
5826,3,5.0,6,5.03,61.6,3.09,0.46,55.0,4
9619,2,5.21,3,5.15,61.6,3.19,0.53,57.0,4
27493,3,4.7,3,4.75,62.9,2.97,0.41,59.0,2
22175,0,4.63,5,4.67,61.5,2.86,0.38,57.0,4
32448,5,6.06,4,6.1,63.3,3.85,0.9,59.0,1
29343,3,5.67,3,5.7,62.3,3.54,0.7,57.0,4
20623,2,5.83,3,5.79,59.4,3.45,0.7,61.0,3
44693,2,5.28,2,5.3,61.4,3.25,0.56,57.0,4
17721,2,6.72,2,6.68,59.6,3.99,1.07,58.0,3
2720,5,4.49,3,4.42,61.5,2.74,0.33,57.0,4
48161,4,6.66,2,6.6,58.8,3.9,1.02,57.0,4
52670,3,4.39,7,4.34,61.4,2.68,0.31,59.0,3
17074,4,6.83,2,6.86,62.2,4.26,1.22,54.0,4
9048,3,4.38,6,4.43,60.2,2.65,0.31,59.0,3
6334,6,8.21,3,8.16,61.5,5.03,2.1,61.0,4
30043,4,4.35,5,4.33,61.3,2.66,0.3,56.0,4
23477,6,6.92,2,6.86,61.8,4.26,1.24,57.0,4
34668,0,5.54,4,5.55,61.5,3.41,0.64,56.0,4
28816,3,4.29,2,4.33,63.1,2.72,0.31,59.0,1
35467,3,6.41,3,6.45,62.5,4.02,1.02,57.0,4
13573,6,4.54,4,4.57,62.6,2.85,0.37,57.0,4
23305,4,8.1,1,8.04,62.3,5.03,2.01,57.0,4
42621,3,4.73,2,4.5,68.6,3.19,0.45,57.0,0
1416,2,5.25,3,5.27,62.1,3.26,0.55,55.4,2
45150,2,4.82,2,4.79,62.4,3.0,0.43,57.0,3
40894,3,6.19,2,6.08,65.2,4.01,1.0,62.0,0
30860,1,7.22,1,7.3,62.7,4.55,1.5,59.0,2
37628,4,4.69,2,4.67,62.8,2.94,0.4,59.0,3
43096,0,4.34,3,4.31,62.0,2.68,0.3,55.0,4
49473,3,7.62,1,7.55,62.2,4.72,1.65,58.0,3
4786,2,4.55,3,4.6,61.4,2.81,0.35,55.0,4
18056,1,5.83,1,5.68,61.6,3.55,0.72,59.0,3
16696,4,6.46,5,6.41,60.3,3.88,1.0,59.0,3
42542,0,4.49,3,4.45,62.0,2.77,0.34,55.0,4
34179,2,6.06,2,6.1,67.1,4.08,1.0,57.0,0
51514,4,6.75,1,6.82,59.8,4.06,1.13,59.0,2
41977,6,7.32,2,7.28,63.0,4.6,1.51,58.0,3
40241,4,6.09,4,6.0,63.0,3.81,0.9,62.0,3
41422,4,6.66,1,6.76,62.9,4.22,1.22,59.0,2
12431,1,5.84,2,5.87,61.8,3.62,0.76,57.0,4
15809,0,4.72,1,4.67,59.2,2.78,0.38,61.0,3
53189,4,3.97,5,4.01,61.9,2.47,0.24,57.0,2
30407,3,5.15,5,5.12,61.3,3.15,0.51,57.0,4
40489,1,5.99,3,5.94,61.5,3.97,0.81,58.0,3
542,2,6.82,2,6.79,60.4,4.11,1.14,58.0,3
50306,2,4.35,5,4.39,61.6,2.69,0.3,53.0,4
29268,1,4.73,2,4.69,63.5,2.99,0.41,57.0,2
2496,0,5.74,2,5.69,61.6,3.52,0.71,60.0,3
32190,0,4.35,2,4.31,63.7,2.76,0.31,54.0,1
11115,2,6.5,3,6.46,62.0,4.02,1.03,58.0,3
10484,2,4.36,3,4.39,60.6,2.65,0.3,60.0,3
21165,4,4.28,2,4.26,63.7,2.72,0.3,57.0,1
5775,4,8.45,3,8.43,61.6,5.2,2.29,60.0,3
22994,1,5.41,3,5.39,61.1,3.3,0.58,57.0,4
52738,3,6.94,4,6.91,61.8,4.28,1.25,58.0,3
13097,1,4.26,4,4.29,63.4,2.71,0.3,55.0,2
38393,2,6.37,6,6.41,62.1,3.97,1.01,58.0,2
37922,3,6.02,2,6.05,61.8,3.73,0.82,55.0,4
44281,1,5.71,4,5.75,61.8,3.54,0.7,58.0,3
50763,3,6.64,7,6.6,61.3,4.06,1.09,58.0,3
42728,2,6.15,4,6.16,62.4,3.84,0.91,59.0,2
26527,1,5.09,2,5.12,60.7,3.1,0.5,61.0,2
9658,4,4.55,7,4.59,62.1,2.84,0.35,54.0,4
10994,4,5.65,5,5.68,62.5,3.54,0.71,56.0,2
37382,1,4.38,6,4.4,61.7,2.71,0.31,56.0,4
17009,4,6.48,3,6.53,62.7,4.08,1.07,57.0,2
53424,3,6.49,3,6.54,62.3,4.06,1.06,56.0,4
11131,4,7.46,2,7.37,61.2,4.54,1.51,60.0,3
23420,0,5.6,3,5.63,60.9,3.42,0.64,59.0,3
1109,2,5.68,2,5.72,62.1,3.54,0.7,55.0,4
21026,3,6.06,2,6.03,62.4,3.77,0.84,57.0,4
14956,3,4.6,7,4.64,62.1,2.87,0.37,55.0,4
9299,6,6.3,3,6.35,62.8,3.97,1.01,58.0,1
1133,2,6.52,2,6.48,57.4,3.73,1.01,57.0,1
26858,4,5.73,4,5.76,61.6,3.54,0.7,55.0,4
5098,4,6.94,1,6.88,61.6,4.25,1.25,54.0,4
43210,3,4.8,2,4.83,62.5,3.01,0.42,56.0,2
10944,0,7.08,3,7.03,62.8,4.43,1.33,56.0,4
27309,1,6.6,2,6.52,58.1,3.81,1.0,63.0,0
28195,3,6.14,1,6.12,62.8,3.85,0.91,59.0,3
43586,4,4.6,3,4.55,61.0,2.79,0.36,60.0,3
46244,2,5.71,2,5.66,61.6,3.5,0.7,65.0,1
15028,3,4.33,5,4.29,62.2,2.68,0.3,55.0,4
9229,2,6.61,3,6.68,61.0,4.06,1.08,57.0,4
7105,2,4.64,4,4.65,61.1,2.84,0.37,56.0,4
45687,0,4.46,1,4.43,61.4,2.73,0.32,56.0,4
21623,1,4.63,1,4.67,61.9,2.87,0.37,55.0,2
32507,3,6.83,3,6.91,62.0,4.26,1.22,55.0,4
48006,1,5.69,1,5.64,63.0,3.57,0.7,58.0,3
36908,6,6.05,1,5.97,63.2,3.79,0.86,61.0,2
24847,3,5.81,2,5.77,60.6,3.51,0.72,62.0,3
